domain,ransomwareGroup,timestamp,lockbitURL,domainCountry,domainDescription
rajawali.com,lockbit3,13/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/mBIMu0vMBfy4MUCj65cbd0aba4648,ID,"Rajawali Group is an Indonesia National Investment Holding Company operating in diverse industries covering plantation, mining, hotel and property (Sheraton, Luxury Collection, St Regis and Four Seasons), infrastructure, transportation (Express Taxi)..."
motilaloswal.com,lockbit3,13/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/i2zVNsL2EoBCewtG65cbdfa27ee21,IN,"Sharekhan write to us. I think you might be interested to see their confidential company data.Motilal Oswal provides products and services related to equity trading, commodity trading and investment advisory services, IPOs and SIPs investment, port..."
universalservicesms.com,lockbit3,13/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/Q9HvcI60ZK8F8e9065cb9783259e9,US,"Greetings!Today we are posting here the new company, ""Universal Services LLC"".Company Description: Universal Services LLC offers the unique capability of in-house design, fabrication, and installation; saving cost, schedule, and coordination...."
doprastav.sk,lockbit3,13/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/0vTNsQOLxrzlp6TF65cb72ecc8fe1,SK,"Doprastav, JSC is a modern construction company with the history of more than half a century which is capable to offer the construction of buildings and structures of any kind.For each investor the Doprastav, JSC trademark represents a guarantee..."
auruminstitute.org,lockbit3,13/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/Vzs2WMmcTmtZ3ipg65cb35b72fb16,ZA,The Aurum Institute has so many vulnerabilities in its network that we managed to steal all sensitive data including such as:-Personal information-Financial documents.-Research-Patient health data and the results of various experiments.-P...
tecasrl.it,lockbit3,12/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/gI24Mc0TFzY1xyCY65c26d28bfb77,IT,TECA Srl is a company that operates in the Wholesale industry. It employs 6-10 people and has $1M-$5M of revenue. This company have a data leak with confidential data.
vhprimary.com,lockbit3,12/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/RAyjrvKG9E7tUjEO65c9d52007964,AE,Victory Heights | A British-curriculum Primary School in Dubai
germaintoiture.fr,lockbit3,12/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/g8NMic0t5JyCdC9x65c9de6d13a21,FR,henri germain
jacksonvillebeach.org,lockbit3,12/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/E3uLlc9M8elBNxmd65c9c4f17f271,US,"Jacksonville Beach, FL"
robs.org,lockbit3,12/02/2024,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/yZW5mkd5dJB8HJTu65c9c5ac2c91e,US,"River Oaks Baptist School is a private Christian school with grades Preschool-8 in the heart of Houston, Texas"
